Data,Period,Organisation unit,Value
Q21U47uf0xo.REPORTING_RATE,201608,FV43JisquSm,100.0
xm6LbvmURdm.REPORTING_RATE,201608,K27JzTKmBKh,100.0
Q21U47uf0xo.REPORTING_RATE,201609,FV43JisquSm,100.0
xm6LbvmURdm.REPORTING_RATE,201609,FRmrFTE63D0,100.0
xm6LbvmURdm.REPORTING_RATE,201609,dOhqCNenSjS,100.0
xm6LbvmURdm.REPORTING_RATE,201608,dOhqCNenSjS,100.0
xm6LbvmURdm.REPORTING_RATE,201609,K27JzTKmBKh,100.0
Q21U47uf0xo.REPORTING_RATE,201608,vBWtCmNNnCG,100.0
xm6LbvmURdm.REPORTING_RATE,201608,FRmrFTE63D0,100.0
xm6LbvmURdm.REPORTING_RATE,201608,zZJMzjivp7q,100.0
xm6LbvmURdm.REPORTING_RATE,201609,zZJMzjivp7q,100.0
Q21U47uf0xo.REPORTING_RATE,201609,vBWtCmNNnCG,100.0
Q21U47uf0xo.REPORTING_RATE,201609,K7hBRGaGyx1,100.0
Q21U47uf0xo.REPORTING_RATE,201608,K7hBRGaGyx1,100.0
xm6LbvmURdm.REPORTING_RATE,201609,c4HrGRJoarj,100.0
Fpl26CKBEqZ.REPORTING_RATE,201608,vBWtCmNNnCG,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,dOhqCNenSjS,100.0
xm6LbvmURdm.REPORTING_RATE,201608,c4HrGRJoarj,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,c4HrGRJoarj,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,XKGgynPS1WZ,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,FRmrFTE63D0,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,zZJMzjivp7q,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,XKGgynPS1WZ,102.2
eDXUmwx0yw8.REPORTING_RATE,201609,dOhqCNenSjS,100.0
Q21U47uf0xo.REPORTING_RATE,201608,hRQsZhmvqgS,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,FRmrFTE63D0,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,zZJMzjivp7q,100.0
Q21U47uf0xo.REPORTING_RATE,201609,zZJMzjivp7q,100.0
Q21U47uf0xo.REPORTING_RATE,201609,c4HrGRJoarj,100.0
Q21U47uf0xo.REPORTING_RATE,201608,c4HrGRJoarj,99.0
Q21U47uf0xo.REPORTING_RATE,201609,hRQsZhmvqgS,100.0
Fpl26CKBEqZ.REPORTING_RATE,201608,hRQsZhmvqgS,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,sv6c7CpPcrc,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,sv6c7CpPcrc,100.0
Q21U47uf0xo.REPORTING_RATE,201608,quFXhkOJGB4,98.1
Q21U47uf0xo.REPORTING_RATE,201608,FRmrFTE63D0,100.0
Q21U47uf0xo.REPORTING_RATE,201609,FRmrFTE63D0,100.0
Q21U47uf0xo.REPORTING_RATE,201609,quFXhkOJGB4,100.0
Q21U47uf0xo.REPORTING_RATE,201608,YvLOmtTQD6b,111.6
eDXUmwx0yw8.REPORTING_RATE,201608,K7hBRGaGyx1,100.0
Q21U47uf0xo.REPORTING_RATE,201609,YvLOmtTQD6b,102.3
eDXUmwx0yw8.REPORTING_RATE,201609,K7hBRGaGyx1,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,TOgZ99Jv0bN,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,TOgZ99Jv0bN,94.4
eDXUmwx0yw8.REPORTING_RATE,201610,MBZYTqkEgwf,1.1
Q21U47uf0xo.REPORTING_RATE,201609,K27JzTKmBKh,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,c4HrGRJoarj,100.0
Q21U47uf0xo.REPORTING_RATE,201608,K27JzTKmBKh,95.5
xm6LbvmURdm.REPORTING_RATE,201608,VWGSudnonm5,100.0
xm6LbvmURdm.REPORTING_RATE,201608,RdNV4tTRNEo,100.0
Fpl26CKBEqZ.REPORTING_RATE,201608,rO2RVJWHpCe,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,K27JzTKmBKh,100.0
Q21U47uf0xo.REPORTING_RATE,201608,RdNV4tTRNEo,100.0
xm6LbvmURdm.REPORTING_RATE,201609,VWGSudnonm5,100.0
xm6LbvmURdm.REPORTING_RATE,201609,RdNV4tTRNEo,100.0
Fpl26CKBEqZ.REPORTING_RATE,201608,dOhqCNenSjS,100.0
Q21U47uf0xo.REPORTING_RATE,201609,VWGSudnonm5,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,K27JzTKmBKh,100.0
Q21U47uf0xo.REPORTING_RATE,201608,VWGSudnonm5,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,qpS6qE71yKR,100.0
Fpl26CKBEqZ.REPORTING_RATE,201609,dOhqCNenSjS,100.0
Fpl26CKBEqZ.REPORTING_RATE,201609,pFCZqWnXtoU,100.0
Fpl26CKBEqZ.REPORTING_RATE,201608,pFCZqWnXtoU,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,quFXhkOJGB4,100.0
xm6LbvmURdm.REPORTING_RATE,201608,FV43JisquSm,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,quFXhkOJGB4,100.0
Q21U47uf0xo.REPORTING_RATE,201609,hdeC7uX9Cko,100.0
Q21U47uf0xo.REPORTING_RATE,201608,hdeC7uX9Cko,100.0
xm6LbvmURdm.REPORTING_RATE,201609,MBZYTqkEgwf,100.0
xm6LbvmURdm.REPORTING_RATE,201609,W6sNfkJcXGC,100.0
Q21U47uf0xo.REPORTING_RATE,201610,rO2RVJWHpCe,3.4
xm6LbvmURdm.REPORTING_RATE,201609,qpS6qE71yKR,100.0
xm6LbvmURdm.REPORTING_RATE,201608,qpS6qE71yKR,100.0
xm6LbvmURdm.REPORTING_RATE,201608,YvLOmtTQD6b,111.9
Fpl26CKBEqZ.REPORTING_RATE,201609,hdeC7uX9Cko,100.0
xm6LbvmURdm.REPORTING_RATE,201609,YvLOmtTQD6b,107.0
Q21U47uf0xo.REPORTING_RATE,201610,VWGSudnonm5,1.8
xm6LbvmURdm.REPORTING_RATE,201608,rO2RVJWHpCe,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,qpS6qE71yKR,100.0
Q21U47uf0xo.REPORTING_RATE,201608,TOgZ99Jv0bN,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,W6sNfkJcXGC,94.1
eDXUmwx0yw8.REPORTING_RATE,201609,W6sNfkJcXGC,82.4
Q21U47uf0xo.REPORTING_RATE,201608,XKGgynPS1WZ,97.8
Q21U47uf0xo.REPORTING_RATE,201609,RdNV4tTRNEo,100.0
Q21U47uf0xo.REPORTING_RATE,201608,sv6c7CpPcrc,100.0
Q21U47uf0xo.REPORTING_RATE,201609,sv6c7CpPcrc,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,rO2RVJWHpCe,101.8
xm6LbvmURdm.REPORTING_RATE,201608,W6sNfkJcXGC,96.2
xm6LbvmURdm.REPORTING_RATE,201609,rO2RVJWHpCe,101.8
eDXUmwx0yw8.REPORTING_RATE,201608,YvLOmtTQD6b,111.9
Q21U47uf0xo.REPORTING_RATE,201609,XKGgynPS1WZ,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,YvLOmtTQD6b,107.0
xm6LbvmURdm.REPORTING_RATE,201608,qJzrmj5CTmC,100.0
Q21U47uf0xo.REPORTING_RATE,201609,TOgZ99Jv0bN,94.4
eDXUmwx0yw8.REPORTING_RATE,201609,RdNV4tTRNEo,100.0
Fpl26CKBEqZ.REPORTING_RATE,201608,hdeC7uX9Cko,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,VWGSudnonm5,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,RdNV4tTRNEo,100.0
xm6LbvmURdm.REPORTING_RATE,201609,quFXhkOJGB4,100.0
xm6LbvmURdm.REPORTING_RATE,201608,hRQsZhmvqgS,100.0
xm6LbvmURdm.REPORTING_RATE,201609,qJzrmj5CTmC,100.0
xm6LbvmURdm.REPORTING_RATE,201609,hRQsZhmvqgS,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,FV43JisquSm,100.0
xm6LbvmURdm.REPORTING_RATE,201608,quFXhkOJGB4,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,pFCZqWnXtoU,98.2
xm6LbvmURdm.REPORTING_RATE,201608,MBZYTqkEgwf,98.9
Q21U47uf0xo.REPORTING_RATE,201608,qJzrmj5CTmC,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,VWGSudnonm5,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,pFCZqWnXtoU,99.4
Q21U47uf0xo.REPORTING_RATE,201609,W6sNfkJcXGC,90.2
Q21U47uf0xo.REPORTING_RATE,201609,MBZYTqkEgwf,100.0
xm6LbvmURdm.REPORTING_RATE,201609,hdeC7uX9Cko,100.0
xm6LbvmURdm.REPORTING_RATE,201608,K7hBRGaGyx1,100.0
xm6LbvmURdm.REPORTING_RATE,201609,K7hBRGaGyx1,100.0
xm6LbvmURdm.REPORTING_RATE,201608,hdeC7uX9Cko,97.4
eDXUmwx0yw8.REPORTING_RATE,201609,vBWtCmNNnCG,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,qJzrmj5CTmC,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,vBWtCmNNnCG,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,qJzrmj5CTmC,100.0
Q21U47uf0xo.REPORTING_RATE,201608,MBZYTqkEgwf,100.0
Q21U47uf0xo.REPORTING_RATE,201608,W6sNfkJcXGC,100.0
xm6LbvmURdm.REPORTING_RATE,201608,sv6c7CpPcrc,100.0
Q21U47uf0xo.REPORTING_RATE,201608,rO2RVJWHpCe,98.2
xm6LbvmURdm.REPORTING_RATE,201609,sv6c7CpPcrc,98.7
xm6LbvmURdm.REPORTING_RATE,201609,vBWtCmNNnCG,100.0
xm6LbvmURdm.REPORTING_RATE,201608,XKGgynPS1WZ,100.0
xm6LbvmURdm.REPORTING_RATE,201609,XKGgynPS1WZ,102.2
xm6LbvmURdm.REPORTING_RATE,201608,vBWtCmNNnCG,100.0
Q21U47uf0xo.REPORTING_RATE,201608,zZJMzjivp7q,100.0
xm6LbvmURdm.REPORTING_RATE,201608,TOgZ99Jv0bN,98.6
xm6LbvmURdm.REPORTING_RATE,201609,TOgZ99Jv0bN,91.7
Q21U47uf0xo.REPORTING_RATE,201609,pFCZqWnXtoU,99.4
xm6LbvmURdm.REPORTING_RATE,201609,pFCZqWnXtoU,91.6
eDXUmwx0yw8.REPORTING_RATE,201608,hRQsZhmvqgS,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,rO2RVJWHpCe,100.0
Q21U47uf0xo.REPORTING_RATE,201608,pFCZqWnXtoU,98.8
Q21U47uf0xo.REPORTING_RATE,201609,rO2RVJWHpCe,100.0
Q21U47uf0xo.REPORTING_RATE,201608,dOhqCNenSjS,100.0
Fpl26CKBEqZ.REPORTING_RATE,201609,VWGSudnonm5,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,hdeC7uX9Cko,100.0
Fpl26CKBEqZ.REPORTING_RATE,201608,VWGSudnonm5,100.0
Q21U47uf0xo.REPORTING_RATE,201609,dOhqCNenSjS,100.0
xm6LbvmURdm.REPORTING_RATE,201608,pFCZqWnXtoU,89.2
eDXUmwx0yw8.REPORTING_RATE,201608,hdeC7uX9Cko,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,hRQsZhmvqgS,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,MBZYTqkEgwf,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,MBZYTqkEgwf,98.9
